iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
LVA,Europe,Latvia,2021-11-27,251925.0,919.0,900.286,4130.0,17.0,27.143,134940.496,492.251,482.227,2212.183,9.106,14.539,0.81,,,1051.0,562.955,312.187,167.219,595.994,319.237,10848.0,5252544.0,2813.46,5.811,9347.0,5.007,0.092,10.9,tests performed,2177752.0,1268012.0,1174751.0,,7000.0,6566.0,116.65,67.92,62.92,,3517.0,2284.0,0.122,46.3,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,2021-11-27,666768.0,1515.0,1185.857,8701.0,8.0,9.429,98500.979,223.809,175.186,1285.39,1.182,1.393,1.23,,,,,,,,,,,,,,,,,,3569293.0,1897850.0,1671443.0,,2786.0,8986.0,52.73,28.04,24.69,,1327.0,4470.0,0.066,23.15,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,2021-11-27,21755.0,0.0,4.143,662.0,0.0,0.143,10076.112,0.0,1.919,306.614,0.0,0.066,0.34,,,,,,,,,,,,,,,,,,617671.0,581857.0,572287.0,,,6167.0,28.61,26.95,26.51,,2856.0,6158.0,0.285,43.52,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,2021-11-27,5821.0,0.0,0.429,287.0,0.0,0.0,1123.7,0.0,0.083,55.403,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,589628.0,494052.0,456623.0,,,9442.0,11.38,9.54,8.81,,1823.0,6255.0,0.121,47.22,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,2021-11-27,370787.0,0.0,509.857,5430.0,0.0,9.286,53285.187,0.0,73.271,780.336,0.0,1.334,1.05,,,,,,,,,4442.0,,,0.638,,,,,samples tested,2291638.0,1661332.0,630306.0,,,17176.0,32.93,23.87,9.06,,2468.0,6316.0,0.091,38.89,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,2021-11-27,4477.0,0.0,49.429,61.0,0.0,0.0,117033.513,0.0,1292.115,1594.604,0.0,0.0,1.66,,,,,,,2.962,77.425,283.0,78301.0,2046.871,7.398,319.0,8.339,0.19,5.3,tests performed,50469.0,25661.0,24980.0,,298.0,128.0,131.93,67.08,65.3,,3346.0,13.0,0.034,28.7,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,2021-11-27,466608.0,2046.0,1772.714,6672.0,28.0,25.429,173469.122,760.634,659.035,2480.425,10.409,9.453,0.88,,,,,,,,,22972.0,6277642.0,2333.816,8.54,19523.0,7.258,0.099,10.1,tests performed,3670008.0,1865221.0,1776053.0,278076.0,4442.0,13438.0,136.44,69.34,66.03,10.34,4996.0,1853.0,0.069,46.3,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,2021-11-27,1377370.0,514.0,710.429,37239.0,34.0,17.143,2070.769,0.773,1.068,55.986,0.051,0.026,,,,,,,,,,,,,,,,,,,52483471.0,38107764.0,19454095.0,,526062.0,828115.0,7.89,5.73,2.92,,1245.0,705481.0,0.106,,665149040.0,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,2021-11-27,63613134.0,50900.0,52773.714,1151098.0,1811.0,1619.0,19099.301,15.282,15.845,345.607,0.544,0.486,,,,,,,,,,,,,,,,,,,2326165312.0,1432593973.0,899514827.0,4390258.0,5200645.0,13019734.0,69.84,43.01,27.01,0.13,3909.0,4678113.0,0.14,,3330652550.0,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,2021-11-27,88108.0,0.0,306.857,866.0,0.0,0.571,138793.41,0.0,483.381,1364.179,0.0,0.9,1.3,10.0,15.753,46.0,72.462,,,28.389,44.721,4399.0,3675228.0,5789.456,6.93,3664.0,5.772,0.082,12.1,tests performed,877632.0,444171.0,,48274.0,23.0,2584.0,138.25,69.97,,7.6,4070.0,418.0,0.066,46.3,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,
